Date,Month,Day,Year,Temp,Time,Rep,Bug,Gender,Weight,Alive,,,
9/11/24,,,,-2.5,3,1,1,F,0.45,Y,,,
9/11/24,,,,-2.5,3,1,2,F,0.67,Y,,,
9/11/24,,,,-2.5,3,1,3,F,0.38,Y,,,
9/11/24,,,,-2.5,3,1,4,F,0.56,Y,,,
9/11/24,,,,-2.5,3,1,5,F,0.43,Y,,,
9/11/24,,,,-2.5,3,1,6,F,0.59,Y,,,
9/11/24,,,,-2.5,3,1,7,F,0.43,Y,,,
9/11/24,,,,-2.5,3,1,8,F,0.62,N,,,
9/11/24,,,,-2.5,3,1,9,F,0.38,Y,,,
9/11/24,,,,-2.5,3,1,10,F,0.41,Y,,,
9/16/24,,,,-2.5,3,2,1,M,0.24,Y,,,
9/16/24,,,,-2.5,3,2,2,M,0.26,Y,,,
9/16/24,,,,-2.5,3,2,3,M,0.28,Y,,,
9/16/24,,,,-2.5,3,2,4,M,0.25,Y,,,
9/16/24,,,,-2.5,3,2,5,M,0.25,Y,,,
9/16/24,,,,-2.5,3,2,6,F,0.47,Y,,,
9/16/24,,,,-2.5,3,2,7,F,0.48,N,,,
9/16/24,,,,-2.5,3,2,8,F,0.35,Y,,,
9/16/24,,,,-2.5,3,2,9,F,0.55,Y,,,
9/16/24,,,,-2.5,3,2,10,F,0.78,Y,,,
10/21/24,,,,-2.5,3,3,1,F,0.52,N,,,
10/21/24,,,,-2.5,3,3,2,F,0.59,Y,,,
10/21/24,,,,-2.5,3,3,3,F,0.74,Y,,,
10/21/24,,,,-2.5,3,3,4,F,0.58,N,,,
10/21/24,,,,-2.5,3,3,5,F,0.76,Y,,,
10/21/24,,,,-2.5,3,3,6,F,0.76,N,,,
10/21/24,,,,-2.5,3,3,7,F,0.61,N,,,
10/21/24,,,,-2.5,3,3,8,F,0.65,N,,,
10/21/24,,,,-2.5,3,3,9,F,0.71,N,,,
10/21/24,,,,-2.5,3,3,10,F,0.54,N,,,
9/12/24,,,,-2.5,3.5,1,1,F,0.41,Y,,,
9/12/24,,,,-2.5,3.5,1,2,F,0.45,Y,,,
9/12/24,,,,-2.5,3.5,1,3,F,0.43,Y,,,
9/12/24,,,,-2.5,3.5,1,4,F,0.47,Y,,,
9/12/24,,,,-2.5,3.5,1,5,F,0.53,Y,,,
9/12/24,,,,-2.5,3.5,1,6,F,0.44,Y,,,
9/12/24,,,,-2.5,3.5,1,7,F,0.46,Y,,,
9/12/24,,,,-2.5,3.5,1,8,F,0.56,Y,,,
9/12/24,,,,-2.5,3.5,1,9,F,0.57,N,,,
9/12/24,,,,-2.5,3.5,1,10,F,0.47,Y,,,
9/17/24,,,,-2.5,3.5,2,1,F,0.66,Y,,,
9/17/24,,,,-2.5,3.5,2,2,F,0.72,Y,,,
9/17/24,,,,-2.5,3.5,2,3,F,0.61,Y,,,
9/17/24,,,,-2.5,3.5,2,4,F,0.44,Y,,,
9/17/24,,,,-2.5,3.5,2,5,F,0.66,Y,,,
9/17/24,,,,-2.5,3.5,2,6,F,0.43,N,,,
9/17/24,,,,-2.5,3.5,2,7,F,0.62,Y,,,
9/17/24,,,,-2.5,3.5,2,8,F,0.41,Y,,,
9/17/24,,,,-2.5,3.5,2,9,F,0.76,N,,,
9/17/24,,,,-2.5,3.5,2,10,F,0.43,Y,,,
9/18/24,,,,-2.5,3.5,3,1,F,0.59,Y,,,
9/18/24,,,,-2.5,3.5,3,2,F,0.73,N,,,
9/18/24,,,,-2.5,3.5,3,3,F,0.68,Y,,,
9/18/24,,,,-2.5,3.5,3,4,F,0.67,Y,,,
9/18/24,,,,-2.5,3.5,3,5,F,0.53,Y,,,
9/18/24,,,,-2.5,3.5,3,6,F,0.53,Y,,,
9/18/24,,,,-2.5,3.5,3,7,F,0.46,N,,,
9/18/24,,,,-2.5,3.5,3,8,F,0.35,Y,,,
9/18/24,,,,-2.5,3.5,3,9,F,0.32,Y,,,
9/18/24,,,,-2.5,3.5,3,10,F,0.4,Y,,,
9/12/24,,,,-2.5,4,1,1,F,0.62,Y,,,
9/12/24,,,,-2.5,4,1,2,F,0.5,Y,,,
9/12/24,,,,-2.5,4,1,3,F,0.39,N,,,
9/12/24,,,,-2.5,4,1,4,F,0.52,Y,,,
9/12/24,,,,-2.5,4,1,5,F,0.45,Y,,,
9/12/24,,,,-2.5,4,1,6,F,0.42,Y,,,
9/12/24,,,,-2.5,4,1,7,F,0.54,N,,,
9/12/24,,,,-2.5,4,1,8,F,0.55,N,,,
9/12/24,,,,-2.5,4,1,9,F,0.45,N,,,
9/12/24,,,,-2.5,4,1,10,F,0.58,Y,,,
9/15/24,,,,-2.5,4,2,1,F,0.43,Y,,,
9/15/24,,,,-2.5,4,2,2,F,0.41,Y,,,
9/15/24,,,,-2.5,4,2,3,F,0.45,Y,,,
9/15/24,,,,-2.5,4,2,4,F,0.44,Y,,,
9/15/24,,,,-2.5,4,2,5,F,0.42,Y,,,
9/15/24,,,,-2.5,4,2,6,F,0.47,Y,,,
9/15/24,,,,-2.5,4,2,7,F,0.47,Y,,,
9/15/24,,,,-2.5,4,2,8,F,0.49,Y,,,
9/15/24,,,,-2.5,4,2,9,F,0.5,Y,,,
9/15/24,,,,-2.5,4,2,10,F,0.41,Y,,,
9/15/24,,,,-2.5,4,3,1,F,0.46,Y,,,
9/15/24,,,,-2.5,4,3,2,F,0.57,Y,,,
9/15/24,,,,-2.5,4,3,3,F,0.43,Y,,,
9/15/24,,,,-2.5,4,3,4,F,0.38,Y,,,
9/15/24,,,,-2.5,4,3,5,F,0.33,Y,,,
10/21/24,,,,-2.5,4,3,6,M,0.2,N,,,
10/21/24,,,,-2.5,4,3,7,M,0.28,Y,,,
10/21/24,,,,-2.5,4,3,8,M,0.29,Y,,,
10/21/24,,,,-2.5,4,3,9,M,0.23,Y,,,
10/21/24,,,,-2.5,4,3,10,M,0.22,N,,,
9/12/24,,,,-2.5,4.5,1,1,F,0.54,N,,,
9/12/24,,,,-2.5,4.5,1,2,F,0.54,Y,,,
9/12/24,,,,-2.5,4.5,1,3,F,0.61,Y,,,
9/12/24,,,,-2.5,4.5,1,4,F,0.48,N,,,
9/12/24,,,,-2.5,4.5,1,5,F,0.38,N,,,
9/12/24,,,,-2.5,4.5,1,6,F,0.45,N,,,
9/12/24,,,,-2.5,4.5,1,7,F,0.51,Y,,,
9/12/24,,,,-2.5,4.5,1,8,F,0.45,Y,,,
9/12/24,,,,-2.5,4.5,1,9,F,0.47,Y,,,
9/12/24,,,,-2.5,4.5,1,10,F,0.65,Y,,,
9/12/24,,,,-2.5,4.5,2,1,F,0.45,Y,,,
10/23/24,,,,-2.5,4.5,2,2,F,0.6,N,,,
10/23/24,,,,-2.5,4.5,2,3,F,0.67,Y,,,
10/23/24,,,,-2.5,4.5,2,4,F,0.43,N,,,
10/23/24,,,,-2.5,4.5,2,5,F,0.7,N,,,
10/23/24,,,,-2.5,4.5,2,6,F,0.69,N,,,
10/23/24,,,,-2.5,4.5,2,7,F,0.72,N,,,
10/23/24,,,,-2.5,4.5,2,8,F,0.52,N,,,
10/23/24,,,,-2.5,4.5,2,9,F,0.71,N,,,
10/23/24,,,,-2.5,4.5,2,10,M,0.28,N,,,
9/18/24,,,,-2.5,4.5,3,1,M,0.24,Y,,,
9/18/24,,,,-2.5,4.5,3,2,M,0.34,Y,,,
9/18/24,,,,-2.5,4.5,3,3,M,0.28,Y,,,
9/18/24,,,,-2.5,4.5,3,4,M,0.32,Y,,,
9/18/24,,,,-2.5,4.5,3,5,M,0.34,Y,,,
9/18/24,,,,-2.5,4.5,3,6,F,0.76,N,,,
9/18/24,,,,-2.5,4.5,3,7,F,0.69,N,,,
9/18/24,,,,-2.5,4.5,3,8,F,0.49,Y,,,
9/18/24,,,,-2.5,4.5,3,9,F,0.64,N,,,
9/18/24,,,,-2.5,4.5,3,10,F,0.44,Y,,,
9/13/24,,,,-2.5,5,1,1,F,0.45,Y,,,
9/13/24,,,,-2.5,5,1,2,F,0.45,Y,,,
9/13/24,,,,-2.5,5,1,3,F,0.52,Y,,,
9/13/24,,,,-2.5,5,1,4,F,0.47,Y,,,
9/13/24,,,,-2.5,5,1,5,F,0.39,Y,,,
9/13/24,,,,-2.5,5,1,6,F,0.49,Y,,,
9/13/24,,,,-2.5,5,1,7,F,0.45,Y,,,
9/13/24,,,,-2.5,5,1,8,F,0.44,N,,,
9/13/24,,,,-2.5,5,1,9,F,0.46,Y,,,
9/13/24,,,,-2.5,5,1,10,F,0.39,Y,,,
9/16/24,,,,-2.5,5,2,1,M,0.28,Y,,,
9/16/24,,,,-2.5,5,2,2,M,0.29,N,,,
9/16/24,,,,-2.5,5,2,3,M,0.3,Y,,,
9/16/24,,,,-2.5,5,2,4,M,0.28,N,,,
9/16/24,,,,-2.5,5,2,5,M,0.29,Y,,,
9/16/24,,,,-2.5,5,2,6,F,0.51,N,,,
9/16/24,,,,-2.5,5,2,7,F,0.58,N,,,
9/16/24,,,,-2.5,5,2,8,F,0.72,N,,,
9/16/24,,,,-2.5,5,2,9,F,0.72,N,,,
9/16/24,,,,-2.5,5,2,10,F,0.55,N,,,
10/22/24,10,22,2024,-2.5,5,3,1,F,0.43,Y,,,
10/22/24,10,22,2024,-2.5,5,3,2,F,0.57,N,,,
10/22/24,10,22,2024,-2.5,5,3,3,F,0.53,Y,,,
10/22/24,10,22,2024,-2.5,5,3,4,F,0.47,N,,,
10/22/24,10,22,2024,-2.5,5,3,5,F,0.5,Y,,,
10/22/24,10,22,2024,-2.5,5,3,6,F,0.65,N,,,
10/22/24,10,22,2024,-2.5,5,3,7,F,0.42,N,,,
10/22/24,10,22,2024,-2.5,5,3,8,F,0.5,N,,,
10/22/24,10,22,2024,-2.5,5,3,9,M,0.23,N,,,
10/22/24,10,22,2024,-2.5,5,3,10,M,0.32,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,1,F,0.36,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,2,F,0.58,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,3,F,0.51,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,4,F,0.38,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,5,F,0.57,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,6,F,0.51,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,7,F,0.4,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,8,F,0.47,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,9,F,0.37,Y,,,
9/13/24,9,13,2024,-2.5,5.5,1,10,F,0.55,Y,,,
9/13/24,9,13,2024,-2.5,5.5,2,1,F,0.39,Y,,,
9/13/24,9,13,2024,-2.5,5.5,2,2,F,0.4,Y,,,
9/19/24,9,19,2024,-2.5,5.5,2,3,F,0.52,N,,,
9/19/24,9,19,2024,-2.5,5.5,2,4,F,0.48,Y,,,
9/19/24,9,19,2024,-2.5,5.5,2,5,F,0.56,N,,,
9/19/24,9,19,2024,-2.5,5.5,2,6,F,0.47,Y,,,
9/19/24,9,19,2024,-2.5,5.5,2,7,F,0.49,Y,,,
9/19/24,9,19,2024,-2.5,5.5,2,8,F,0.8,N,,,
9/19/24,9,19,2024,-2.5,5.5,2,9,F,0.78,N,,,
9/19/24,9,19,2024,-2.5,5.5,2,10,F,0.53,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,1,M,0.25,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,2,M,0.26,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,3,M,0.23,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,4,M,0.24,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,5,M,0.27,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,6,F,0.67,N,,,
9/17/24,9,17,2024,-2.5,5.5,3,7,F,0.36,Y,,,
9/17/24,9,17,2024,-2.5,5.5,3,8,F,0.37,N,,,
9/17/24,9,17,2024,-2.5,5.5,3,9,F,0.56,N,,,
9/17/24,9,17,2024,-2.5,5.5,3,10,F,0.7,N,,,