Date Tested,Month,Day,Year,Temp,Time,Rep,Bug,Alive
7/2/24,7,2,2024,-2.5,180,1,1,Y
7/2/24,7,2,2024,-2.5,180,1,2,Y
7/2/24,7,2,2024,-2.5,180,1,3,Y
7/2/24,7,2,2024,-2.5,180,1,4,Y
7/2/24,7,2,2024,-2.5,180,1,5,Y
7/2/24,7,2,2024,-2.5,180,1,6,Y
7/2/24,7,2,2024,-2.5,180,1,7,Y
7/2/24,7,2,2024,-2.5,180,1,8,N
7/2/24,7,2,2024,-2.5,180,1,9,N
7/2/24,7,2,2024,-2.5,180,1,10,Y
7/8/24,7,8,2024,-2.5,180,2,1,Y
7/8/24,7,8,2024,-2.5,180,2,2,Y
7/8/24,7,8,2024,-2.5,180,2,3,N
7/8/24,7,8,2024,-2.5,180,2,4,N
7/8/24,7,8,2024,-2.5,180,2,5,Y
7/8/24,7,8,2024,-2.5,180,2,6,N
7/8/24,7,8,2024,-2.5,180,2,7,Y
7/8/24,7,8,2024,-2.5,180,2,8,N
7/8/24,7,8,2024,-2.5,180,2,9,Y
7/8/24,7,8,2024,-2.5,180,2,10,Y
6/28/24,6,28,2024,-2.5,210,1,1,Y
6/28/24,6,28,2024,-2.5,210,1,2,N
6/28/24,6,28,2024,-2.5,210,1,3,N
6/28/24,6,28,2024,-2.5,210,1,4,Y
6/28/24,6,28,2024,-2.5,210,1,5,Y
6/28/24,6,28,2024,-2.5,210,1,6,N
6/28/24,6,28,2024,-2.5,210,1,7,Y
6/28/24,6,28,2024,-2.5,210,1,8,N
6/28/24,6,28,2024,-2.5,210,1,9,Y
6/28/24,6,28,2024,-2.5,210,1,10,Y
7/1/24,7,1,2024,-2.5,210,2,1,N
7/1/24,7,1,2024,-2.5,210,2,2,Y
7/1/24,7,1,2024,-2.5,210,2,3,N
7/1/24,7,1,2024,-2.5,210,2,4,N
7/1/24,7,1,2024,-2.5,210,2,5,Y
7/1/24,7,1,2024,-2.5,210,2,6,Y
7/1/24,7,1,2024,-2.5,210,2,7,Y
7/1/24,7,1,2024,-2.5,210,2,8,N
7/1/24,7,1,2024,-2.5,210,2,9,N
7/1/24,7,1,2024,-2.5,210,2,10,N
6/20/24,6,20,2024,-2.5,240,1,1,Y
6/20/24,6,20,2024,-2.5,240,1,2,N
6/20/24,6,20,2024,-2.5,240,1,3,N
6/20/24,6,20,2024,-2.5,240,1,4,N
6/20/24,6,20,2024,-2.5,240,1,5,Y
6/20/24,6,20,2024,-2.5,240,1,6,N
6/20/24,6,20,2024,-2.5,240,1,7,N
6/20/24,6,20,2024,-2.5,240,1,8,N
6/20/24,6,20,2024,-2.5,240,1,9,N
6/20/24,6,20,2024,-2.5,240,1,10,N
6/20/24,6,20,2024,-2.5,240,2,1,N
6/20/24,6,20,2024,-2.5,240,2,2,N
6/20/24,6,20,2024,-2.5,240,2,3,Y
6/20/24,6,20,2024,-2.5,240,2,4,N
6/20/24,6,20,2024,-2.5,240,2,5,N
6/20/24,6,20,2024,-2.5,240,2,6,N
6/20/24,6,20,2024,-2.5,240,2,7,N
6/20/24,6,20,2024,-2.5,240,2,8,N
6/20/24,6,20,2024,-2.5,240,2,9,N
6/20/24,6,20,2024,-2.5,240,2,10,N
6/24/24,6,24,2024,-2.5,270,1,1,N
6/24/24,6,24,2024,-2.5,270,1,2,Y
6/24/24,6,24,2024,-2.5,270,1,3,N
6/24/24,6,24,2024,-2.5,270,1,4,N
6/24/24,6,24,2024,-2.5,270,1,5,Y
6/24/24,6,24,2024,-2.5,270,1,6,Y
6/24/24,6,24,2024,-2.5,270,1,7,N
6/24/24,6,24,2024,-2.5,270,1,8,Y
6/24/24,6,24,2024,-2.5,270,1,9,N
6/24/24,6,24,2024,-2.5,270,1,10,N
6/24/24,6,24,2024,-2.5,270,2,1,N
6/24/24,6,24,2024,-2.5,270,2,2,N
6/24/24,6,24,2024,-2.5,270,2,3,N
6/24/24,6,24,2024,-2.5,270,2,4,N
6/24/24,6,24,2024,-2.5,270,2,5,N
6/24/24,6,24,2024,-2.5,270,2,6,N
6/24/24,6,24,2024,-2.5,270,2,7,N
6/24/24,6,24,2024,-2.5,270,2,8,N
6/24/24,6,24,2024,-2.5,270,2,9,N
6/24/24,6,24,2024,-2.5,270,2,10,Y
6/24/24,6,24,2024,-2.5,300,1,1,N
6/24/24,6,24,2024,-2.5,300,1,2,Y
6/24/24,6,24,2024,-2.5,300,1,3,N
6/24/24,6,24,2024,-2.5,300,1,4,N
6/24/24,6,24,2024,-2.5,300,1,5,N
6/24/24,6,24,2024,-2.5,300,1,6,N
6/24/24,6,24,2024,-2.5,300,1,7,N
6/24/24,6,24,2024,-2.5,300,1,8,Y
6/24/24,6,24,2024,-2.5,300,1,9,N
6/24/24,6,24,2024,-2.5,300,1,10,N
6/24/24,6,24,2024,-2.5,300,2,1,N
6/24/24,6,24,2024,-2.5,300,2,2,N
6/24/24,6,24,2024,-2.5,300,2,3,N
6/24/24,6,24,2024,-2.5,300,2,4,Y
6/24/24,6,24,2024,-2.5,300,2,5,N
6/24/24,6,24,2024,-2.5,300,2,6,N
6/24/24,6,24,2024,-2.5,300,2,7,Y
6/24/24,6,24,2024,-2.5,300,2,8,N
6/24/24,6,24,2024,-2.5,300,2,9,N
6/24/24,6,24,2024,-2.5,300,2,10,N
6/20/24,6,20,2024,-2.5,330,1,1,N
6/20/24,6,20,2024,-2.5,330,1,2,N
6/20/24,6,20,2024,-2.5,330,1,3,N
6/20/24,6,20,2024,-2.5,330,1,4,N
6/20/24,6,20,2024,-2.5,330,1,5,N
6/20/24,6,20,2024,-2.5,330,1,6,Y
6/20/24,6,20,2024,-2.5,330,1,7,N
6/20/24,6,20,2024,-2.5,330,1,8,N
6/20/24,6,20,2024,-2.5,330,1,9,N
6/20/24,6,20,2024,-2.5,330,1,10,N
6/20/24,6,20,2024,-2.5,330,2,1,N
6/20/24,6,20,2024,-2.5,330,2,2,N
6/20/24,6,20,2024,-2.5,330,2,3,N
6/20/24,6,20,2024,-2.5,330,2,4,Y
6/20/24,6,20,2024,-2.5,330,2,5,Y
6/20/24,6,20,2024,-2.5,330,2,6,N
6/20/24,6,20,2024,-2.5,330,2,7,N
6/20/24,6,20,2024,-2.5,330,2,8,N
6/20/24,6,20,2024,-2.5,330,2,9,N
6/20/24,6,20,2024,-2.5,330,2,10,N