Date,Day,Month,Year,Temp (C),Rep,Bug,Alive,
9/27/23,27,9,2023,0,1,1F,Y,
9/27/23,27,9,2023,0,1,2F,Y,
9/27/23,27,9,2023,0,1,3F,Y,
9/27/23,27,9,2023,0,1,4F,Y,
9/27/23,27,9,2023,0,1,5F,Y,
9/27/23,27,9,2023,0,1,1M,Y,
9/27/23,27,9,2023,0,1,2M,Y,
9/27/23,27,9,2023,0,1,3M,Y,
9/27/23,27,9,2023,0,1,4M,Y,
9/27/23,27,9,2023,0,1,5M,Y,
9/29/23,29,9,2023,0,2,1F,Y,
9/29/23,29,9,2023,0,2,2F,Y,
9/29/23,29,9,2023,0,2,3F,Y,
9/29/23,29,9,2023,0,2,4F,Y,
9/29/23,29,9,2023,0,2,5F,Y,
9/29/23,29,9,2023,0,2,6F,Y,
9/29/23,29,9,2023,0,2,7F,Y,
9/29/23,29,9,2023,0,2,8F,Y,
9/29/23,29,9,2023,0,2,9F,Y,
9/29/23,29,9,2023,0,2,10F,Y,
9/30/23,30,9,2023,0,3,1F,Y,
9/30/23,30,9,2023,0,3,2F,Y,
9/30/23,30,9,2023,0,3,3F,Y,
9/30/23,30,9,2023,0,3,4F,Y,
9/30/23,30,9,2023,0,3,5F,Y,
9/30/23,30,9,2023,0,3,6F,Y,
9/30/23,30,9,2023,0,3,7F,Y,
9/30/23,30,9,2023,0,3,8F,N,
9/30/23,30,9,2023,0,3,9F,N,
9/30/23,30,9,2023,0,3,10F,N,
9/27/23,27,9,2023,-2.5,1,1F,Y,
9/27/23,27,9,2023,-2.5,1,2F,Y,
9/27/23,27,9,2023,-2.5,1,3F,Y,
9/27/23,27,9,2023,-2.5,1,4F,Y,
9/27/23,27,9,2023,-2.5,1,5F,Y,
9/27/23,27,9,2023,-2.5,1,1M,Y,
9/27/23,27,9,2023,-2.5,1,2M,Y,
9/27/23,27,9,2023,-2.5,1,3M,Y,
9/27/23,27,9,2023,-2.5,1,4M,N,
9/27/23,27,9,2023,-2.5,1,5M,N,
9/29/23,29,9,2023,-2.5,2,1F,Y,
9/29/23,29,9,2023,-2.5,2,2F,Y,
9/29/23,29,9,2023,-2.5,2,3F,Y,
9/29/23,29,9,2023,-2.5,2,4F,Y,
9/29/23,29,9,2023,-2.5,2,5F,Y,
9/29/23,29,9,2023,-2.5,2,6F,Y,
9/29/23,29,9,2023,-2.5,2,7F,Y,
9/29/23,29,9,2023,-2.5,2,8F,Y,
9/29/23,29,9,2023,-2.5,2,9F,Y,
9/29/23,29,9,2023,-2.5,2,10F,N,
9/30/23,30,9,2023,-2.5,3,1F,Y,
9/30/23,30,9,2023,-2.5,3,2F,Y,
9/30/23,30,9,2023,-2.5,3,3F,Y,
9/30/23,30,9,2023,-2.5,3,4F,Y,
9/30/23,30,9,2023,-2.5,3,5F,Y,
9/30/23,30,9,2023,-2.5,3,6F,Y,
9/30/23,30,9,2023,-2.5,3,7F,Y,
9/30/23,30,9,2023,-2.5,3,8F,Y,
9/30/23,30,9,2023,-2.5,3,9F,N,
9/30/23,30,9,2023,-2.5,3,10F,N,
9/28/23,28,9,2023,-5,1,1F,N,
9/28/23,28,9,2023,-5,1,2F,N,
9/28/23,28,9,2023,-5,1,3F,N,
9/28/23,28,9,2023,-5,1,4F,N,
9/28/23,28,9,2023,-5,1,5F,N,
9/28/23,28,9,2023,-5,1,1M,N,
9/28/23,28,9,2023,-5,1,2M,N,
9/28/23,28,9,2023,-5,1,3M,N,
9/28/23,28,9,2023,-5,1,4M,N,
9/28/23,28,9,2023,-5,1,5M,N,
9/29/23,29,9,2023,-5,2,1F,N,
9/29/23,29,9,2023,-5,2,2F,N,
9/29/23,29,9,2023,-5,2,3F,N,
9/29/23,29,9,2023,-5,2,4F,N,
9/29/23,29,9,2023,-5,2,5F,N,
9/29/23,29,9,2023,-5,2,6F,N,
9/29/23,29,9,2023,-5,2,7F,N,
9/29/23,29,9,2023,-5,2,8F,N,
9/29/23,29,9,2023,-5,2,9F,N,
9/29/23,29,9,2023,-5,2,10F,N,
9/30/23,30,9,2023,-5,3,1F,Y,
9/30/23,30,9,2023,-5,3,2F,N,
9/30/23,30,9,2023,-5,3,3F,N,
9/30/23,30,9,2023,-5,3,4F,N,
9/30/23,30,9,2023,-5,3,5F,N,
9/30/23,30,9,2023,-5,3,6F,N,
9/30/23,30,9,2023,-5,3,7F,N,
9/30/23,30,9,2023,-5,3,8F,N,
9/30/23,30,9,2023,-5,3,9F,N,
9/30/23,30,9,2023,-5,3,10F,N,
9/28/23,28,9,2023,-7.5,1,1F,N,
9/28/23,28,9,2023,-7.5,1,2F,N,
9/28/23,28,9,2023,-7.5,1,3F,N,
9/28/23,28,9,2023,-7.5,1,4F,N,
9/28/23,28,9,2023,-7.5,1,5F,N,
9/28/23,28,9,2023,-7.5,1,1M,N,
9/28/23,28,9,2023,-7.5,1,2M,N,
9/28/23,28,9,2023,-7.5,1,3M,N,
9/28/23,28,9,2023,-7.5,1,4M,N,
9/28/23,28,9,2023,-7.5,1,5M,N,
9/29/23,29,9,2023,-7.5,2,1F,N,
9/29/23,29,9,2023,-7.5,2,2F,N,
9/29/23,29,9,2023,-7.5,2,3F,N,
9/29/23,29,9,2023,-7.5,2,4F,N,
9/29/23,29,9,2023,-7.5,2,5F,N,
9/29/23,29,9,2023,-7.5,2,6F,N,
9/29/23,29,9,2023,-7.5,2,7F,N,
9/29/23,29,9,2023,-7.5,2,8F,N,
9/29/23,29,9,2023,-7.5,2,9F,N,
9/29/23,29,9,2023,-7.5,2,10F,N,
9/30/23,30,9,2023,-7.5,3,1F,N,
9/30/23,30,9,2023,-7.5,3,2F,N,
9/30/23,30,9,2023,-7.5,3,3F,N,
9/30/23,30,9,2023,-7.5,3,4F,N,
9/30/23,30,9,2023,-7.5,3,5F,N,
9/30/23,30,9,2023,-7.5,3,6F,N,
9/30/23,30,9,2023,-7.5,3,7F,N,
9/30/23,30,9,2023,-7.5,3,8F,N,
9/30/23,30,9,2023,-7.5,3,9F,N,
9/30/23,30,9,2023,-7.5,3,10F,N,
9/28/23,28,9,2023,-10,1,1F,N,
9/28/23,28,9,2023,-10,1,2F,N,
9/28/23,28,9,2023,-10,1,3F,N,
9/28/23,28,9,2023,-10,1,4F,N,
9/28/23,28,9,2023,-10,1,5F,N,
9/28/23,28,9,2023,-10,1,1M,N,
9/28/23,28,9,2023,-10,1,2M,N,
9/28/23,28,9,2023,-10,1,3M,N,
9/28/23,28,9,2023,-10,1,4M,N,
9/28/23,28,9,2023,-10,1,5M,N,
9/28/23,28,9,2023,-10,2,1F,N,
9/28/23,28,9,2023,-10,2,2F,N,
9/28/23,28,9,2023,-10,2,3F,N,
9/28/23,28,9,2023,-10,2,4F,N,
9/28/23,28,9,2023,-10,2,5F,N,
9/28/23,28,9,2023,-10,2,1M,N,
9/28/23,28,9,2023,-10,2,2M,N,
9/28/23,28,9,2023,-10,2,3M,N,
9/28/23,28,9,2023,-10,2,4M,N,
9/28/23,28,9,2023,-10,2,5M,N,
9/29/23,29,9,2023,-10,3,1F,N,
9/29/23,29,9,2023,-10,3,2F,N,
9/29/23,29,9,2023,-10,3,3F,N,
9/29/23,29,9,2023,-10,3,4F,N,
9/29/23,29,9,2023,-10,3,5F,N,
9/29/23,29,9,2023,-10,3,6F,N,
9/29/23,29,9,2023,-10,3,7F,N,
9/29/23,29,9,2023,-10,3,8F,N,
9/29/23,29,9,2023,-10,3,9F,N,
9/29/23,29,9,2023,-10,3,10F,N,