Temp,Rep,Bug,Alive,Recovery_Time
7.5,1,1,Y,48
7.5,1,2,Y,13
7.5,1,3,Y,13
7.5,1,4,Y,11
7.5,1,5,Y,12
7.5,1,6,Y,14
7.5,1,7,Y,14
7.5,1,8,Y,52
7.5,1,9,Y,12
7.5,1,10,Y,12
7.5,2,1,Y,11
7.5,2,2,Y,18
7.5,2,3,Y,10
7.5,2,4,Y,15
7.5,2,5,Y,10
7.5,2,6,Y,25
7.5,2,7,Y,10
7.5,2,8,Y,27
7.5,2,9,Y,18
7.5,2,10,Y,27
7.5,3,1,Y,9
7.5,3,2,Y,10
7.5,3,3,Y,12
7.5,3,4,Y,11
7.5,3,5,Y,12
7.5,3,6,Y,12
7.5,3,7,Y,9
7.5,3,8,Y,10
7.5,3,9,Y,10
7.5,3,10,Y,15
5,1,1,Y,35
5,1,2,Y,28
5,1,3,Y,24
5,1,4,Y,88
5,1,5,Y,35
5,1,6,Y,28
5,1,7,Y,89
5,1,8,Y,24
5,1,9,Y,25
5,1,10,Y,46
5,2,1,Y,29
5,2,2,Y,40
5,2,3,Y,20
5,2,4,Y,20
5,2,5,Y,24
5,2,6,Y,39
5,2,7,Y,49
5,2,8,Y,24
5,2,9,Y,22
5,2,10,Y,39
5,3,1,Y,12
5,3,2,Y,7
5,3,3,Y,10
5,3,4,Y,14
5,3,5,Y,13
5,3,6,Y,2
5,3,7,Y,10
5,3,8,Y,13
5,3,9,Y,10
5,3,10,Y,16
2.5,1,1,Y,14
2.5,1,2,Y,27
2.5,1,3,N,NA
2.5,1,4,Y,31
2.5,1,5,Y,16
2.5,1,6,Y,12
2.5,1,7,Y,23
2.5,1,8,Y,11
2.5,1,9,Y,14
2.5,1,10,Y,21
2.5,2,1,Y,48
2.5,2,2,Y,47
2.5,2,3,Y,56
2.5,2,4,Y,21
2.5,2,5,Y,26
2.5,2,6,Y,27
2.5,2,7,Y,45
2.5,2,8,Y,27
2.5,2,9,Y,31
2.5,2,10,Y,17
2.5,3,1,Y,12
2.5,3,2,Y,13
2.5,3,3,Y,13
2.5,3,4,Y,11
2.5,3,5,Y,11
2.5,3,6,Y,11
2.5,3,7,Y,14
2.5,3,8,Y,13
2.5,3,9,Y,12
2.5,3,10,Y,11
0,1,1,Y,11
0,1,2,Y,NA
0,1,3,Y,NA
0,1,4,Y,NA
0,1,5,Y,12
0,1,6,Y,15
0,1,7,Y,13
0,1,8,Y,NA
0,1,9,Y,NA
0,1,10,Y,12
0,2,1,Y,18
0,2,2,Y,14
0,2,3,Y,15
0,2,4,Y,21
0,2,5,Y,20
0,2,6,Y,16
0,2,7,Y,16
0,2,8,Y,20
0,2,9,Y,14
0,2,10,Y,16
0,3,1,Y,15
0,3,2,Y,14
0,3,3,Y,12
0,3,4,Y,27
0,3,5,Y,13
0,3,6,Y,14
0,3,7,Y,15
0,3,8,Y,27
0,3,9,Y,13
0,3,10,Y,15
-2.5,1,1,Y,84
-2.5,1,2,Y,40
-2.5,1,3,Y,39
-2.5,1,4,Y,85
-2.5,1,5,Y,24
-2.5,1,6,N,NA
-2.5,1,7,Y,91
-2.5,1,8,Y,38
-2.5,1,9,Y,24
-2.5,1,10,Y,91
-2.5,2,1,Y,68
-2.5,2,2,Y,67
-2.5,2,3,Y,51
-2.5,2,4,Y,62
-2.5,2,5,Y,62
-2.5,2,6,Y,44
-2.5,2,7,Y,51
-2.5,2,8,Y,44
-2.5,2,9,Y,63
-2.5,2,10,Y,31
-2.5,3,1,Y,66
-2.5,3,2,Y,66
-2.5,3,3,Y,35
-2.5,3,4,Y,52
-2.5,3,5,Y,63
-2.5,3,6,Y,37
-2.5,3,7,Y,52
-2.5,3,8,Y,47
-2.5,3,9,Y,47
-2.5,3,10,Y,32
-5,1,1,N,NA
-5,1,2,Y,91
-5,1,3,Y,109
-5,1,4,N,NA
-5,1,5,N,NA
-5,1,6,N,NA
-5,1,7,Y,60
-5,1,8,Y,52
-5,1,9,N,NA
-5,1,10,N,NA
-5,2,1,N,NA
-5,2,2,Y,48
-5,2,3,N,NA
-5,2,4,Y,90
-5,2,5,N,NA
-5,2,6,N,NA
-5,2,7,N,NA
-5,2,8,Y,49
-5,2,9,Y,43
-5,2,10,N,NA
-5,3,1,N,NA
-5,3,2,Y,47
-5,3,3,N,NA
-5,3,4,N,NA
-5,3,5,N,NA
-5,3,6,Y,120
-5,3,7,Y,84
-5,3,8,N,NA
-5,3,9,Y,98
-5,3,10,N,NA
-7,1,1,N,NA
-7,1,2,N,NA
-7,1,3,N,NA
-7,1,4,N,NA
-7,1,5,N,NA
-7,1,6,N,NA
-7,1,7,N,NA
-7,1,8,N,NA
-7,1,9,N,NA
-7,1,10,N,NA
-7,2,1,N,NA
-7,2,2,N,NA
-7,2,3,N,NA
-7,2,4,N,NA
-7,2,5,N,NA
-7,2,6,N,NA
-7,2,7,N,NA
-7,2,8,N,NA
-7,2,9,N,NA
-7,2,10,N,NA
-7,3,1,N,NA
-7,3,2,N,NA
-7,3,3,N,NA
-7,3,4,N,NA
-7,3,5,N,NA
-7,3,6,N,NA
-7,3,7,N,NA
-7,3,8,N,NA
-7,3,9,N,NA
-7,3,10,N,NA