Date,Day,Month,Year,Days after Collection,Temp,Time,Rep,Bug,Alive,,
10/4/23,4,10,2023,1,-2.5,3,1,1F,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,2F,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,3F,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,4F,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,5F,N,,
10/4/23,4,10,2023,1,-2.5,3,1,1M,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,2M,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,3M,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,4M,Y,,
10/4/23,4,10,2023,1,-2.5,3,1,5M,N,,
10/6/23,6,10,2023,3,-2.5,3,2,1F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,2F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,3F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,4F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,5F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,6F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,7F,Y,,
10/6/23,6,10,2023,3,-2.5,3,2,8F,N,,
10/6/23,6,10,2023,3,-2.5,3,2,9F,N,,
10/6/23,6,10,2023,3,-2.5,3,2,10F,N,,
10/6/23,6,10,2023,3,-2.5,3,3,1F,Y,,
10/6/23,6,10,2023,3,-2.5,3,3,2F,Y,,
10/6/23,6,10,2023,3,-2.5,3,3,3F,Y,,
10/6/23,6,10,2023,3,-2.5,3,3,4F,Y,,
10/6/23,6,10,2023,3,-2.5,3,3,5F,Y,,
10/6/23,6,10,2023,3,-2.5,3,3,6F,N,,
10/6/23,6,10,2023,3,-2.5,3,3,7F,N,,
10/6/23,6,10,2023,3,-2.5,3,3,8F,N,,
10/6/23,6,10,2023,3,-2.5,3,3,9F,N,,
10/6/23,6,10,2023,3,-2.5,3,3,10F,N,,
10/9/23,9,10,2023,0,-2.5,3,4,1F,Y,,
10/9/23,9,10,2023,0,-2.5,3,4,2F,Y,,
10/9/23,9,10,2023,0,-2.5,3,4,3F,Y,,
10/9/23,9,10,2023,0,-2.5,3,4,4F,Y,,
10/9/23,9,10,2023,0,-2.5,3,4,5F,N,,
10/9/23,9,10,2023,0,-2.5,3,4,1M,Y,,
10/9/23,9,10,2023,0,-2.5,3,4,2M,N,,
10/9/23,9,10,2023,0,-2.5,3,4,3M,N,,
10/9/23,9,10,2023,0,-2.5,3,4,4M,N,,
10/9/23,9,10,2023,0,-2.5,3,4,5M,N,,
10/4/23,4,10,2023,1,-2.5,3.5,1,1F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,2F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,3F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,4F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,5F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,6F,Y,,
10/4/23,4,10,2023,1,-2.5,3.5,1,7F,N,,
10/4/23,4,10,2023,1,-2.5,3.5,1,8F,N,,
10/4/23,4,10,2023,1,-2.5,3.5,1,9F,N,,
10/4/23,4,10,2023,1,-2.5,3.5,1,10F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,1F,Y,,
10/6/23,6,10,2023,3,-2.5,3.5,2,2F,Y,,
10/6/23,6,10,2023,3,-2.5,3.5,2,3F,Y,,
10/6/23,6,10,2023,3,-2.5,3.5,2,4F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,5F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,6F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,7F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,8F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,9F,N,,
10/6/23,6,10,2023,3,-2.5,3.5,2,10F,N,,
10/9/23,9,10,2023,0,-2.5,3.5,3,1M,Y,,
10/9/23,9,10,2023,0,-2.5,3.5,3,2M,Y,,
10/9/23,9,10,2023,0,-2.5,3.5,3,3M,Y,,
10/9/23,9,10,2023,0,-2.5,3.5,3,4M,N,,
10/9/23,9,10,2023,0,-2.5,3.5,3,5M,N,,
10/9/23,9,10,2023,0,-2.5,3.5,3,1F,Y,,
10/9/23,9,10,2023,0,-2.5,3.5,3,2F,Y,,
10/9/23,9,10,2023,0,-2.5,3.5,3,3F,N,,
10/9/23,9,10,2023,0,-2.5,3.5,3,4F,N,,
10/9/23,9,10,2023,0,-2.5,3.5,3,5F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,1F,Y,,
10/13/23,13,10,2023,4,-2.5,3.5,4,2F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,3F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,4F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,5F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,6F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,7F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,8F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,9F,N,,
10/13/23,13,10,2023,4,-2.5,3.5,4,10F,N,,
10/3/23,3,10,2023,0,-2.5,4,1,1F,Y,,
10/3/23,3,10,2023,0,-2.5,4,1,2F,Y,,
10/3/23,3,10,2023,0,-2.5,4,1,3F,Y,,
10/3/23,3,10,2023,0,-2.5,4,1,4F,Y,,
10/3/23,3,10,2023,0,-2.5,4,1,5F,N,,
10/3/23,3,10,2023,0,-2.5,4,1,1M,Y,,
10/3/23,3,10,2023,0,-2.5,4,1,2M,N,,
10/3/23,3,10,2023,0,-2.5,4,1,3M,N,,
10/3/23,3,10,2023,0,-2.5,4,1,4M,N,,
10/3/23,3,10,2023,0,-2.5,4,1,5M,N,,
10/6/23,6,10,2023,3,-2.5,4,2,1F,Y,,
10/6/23,6,10,2023,3,-2.5,4,2,2F,Y,,
10/6/23,6,10,2023,3,-2.5,4,2,3F,Y,,
10/6/23,6,10,2023,3,-2.5,4,2,4F,Y,,
10/6/23,6,10,2023,3,-2.5,4,2,5F,N,,
10/6/23,6,10,2023,3,-2.5,4,2,6F,N,,
10/6/23,6,10,2023,3,-2.5,4,2,7F,N,,
10/6/23,6,10,2023,3,-2.5,4,2,8F,N,,
10/6/23,6,10,2023,3,-2.5,4,2,9F,N,,
10/6/23,6,10,2023,3,-2.5,4,2,10F,N,,
10/10/23,10,10,2023,1,-2.5,4,3,1M,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,2M,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,3M,N,,
10/10/23,10,10,2023,1,-2.5,4,3,4M,N,,
10/10/23,10,10,2023,1,-2.5,4,3,5M,N,,
10/10/23,10,10,2023,1,-2.5,4,3,1F,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,2F,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,3F,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,4F,Y,,
10/10/23,10,10,2023,1,-2.5,4,3,5F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,1F,Y,,
10/12/23,12,10,2023,3,-2.5,4,4,2F,Y,,
10/12/23,12,10,2023,3,-2.5,4,4,3F,Y,,
10/12/23,12,10,2023,3,-2.5,4,4,4F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,5F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,6F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,7F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,8F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,9F,N,,
10/12/23,12,10,2023,3,-2.5,4,4,10F,N,,
10/5/23,5,10,2023,2,-2.5,4.5,1,1F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,2F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,3F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,4F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,5F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,6F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,7F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,8F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,9F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,1,10F,N,,
10/5/23,5,10,2023,2,-2.5,4.5,2,1F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,2F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,3F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,4F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,5F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,6F,Y,,
10/5/23,5,10,2023,2,-2.5,4.5,2,7F,N,,
10/5/23,5,10,2023,2,-2.5,4.5,2,8F,N,,
10/5/23,5,10,2023,2,-2.5,4.5,2,9F,N,,
10/5/23,5,10,2023,2,-2.5,4.5,2,10F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,1F,Y,,
10/7/23,7,10,2023,4,-2.5,4.5,3,2F,Y,,
10/7/23,7,10,2023,4,-2.5,4.5,3,3F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,4F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,5F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,6F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,7F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,8F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,9F,N,,
10/7/23,7,10,2023,4,-2.5,4.5,3,10F,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,1F,Y,,
10/12/23,12,10,2023,3,-2.5,4.5,4,2F,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,3F,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,4F,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,5F,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,1M,Y,,
10/12/23,12,10,2023,3,-2.5,4.5,4,2M,Y,,
10/12/23,12,10,2023,3,-2.5,4.5,4,3M,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,4M,N,,
10/12/23,12,10,2023,3,-2.5,4.5,4,5M,N,,
10/4/23,4,10,2023,1,-2.5,5,1,1F,Y,,
10/4/23,4,10,2023,1,-2.5,5,1,2F,N,,
10/4/23,4,10,2023,1,-2.5,5,1,3F,N,,
10/4/23,4,10,2023,1,-2.5,5,1,4F,N,,
10/4/23,4,10,2023,1,-2.5,5,1,5F,N,,
10/4/23,4,10,2023,1,-2.5,5,1,1M,Y,,
10/4/23,4,10,2023,1,-2.5,5,1,2M,Y,,
10/4/23,4,10,2023,1,-2.5,5,1,3M,N,,
10/4/23,4,10,2023,1,-2.5,5,1,4M,N,,
10/4/23,4,10,2023,1,-2.5,5,1,5M,N,,
10/5/23,5,10,2023,2,-2.5,5,2,1F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,2F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,3F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,4F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,5F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,6F,Y,,
10/5/23,5,10,2023,2,-2.5,5,2,7F,N,,
10/5/23,5,10,2023,2,-2.5,5,2,8F,N,,
10/5/23,5,10,2023,2,-2.5,5,2,9F,N,,
10/5/23,5,10,2023,2,-2.5,5,2,10F,N,,
10/7/23,7,10,2023,4,-2.5,5,3,1F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,2F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,3F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,4F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,5F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,6F,Y,,
10/7/23,7,10,2023,4,-2.5,5,3,7F,N,,
10/7/23,7,10,2023,4,-2.5,5,3,8F,N,,
10/7/23,7,10,2023,4,-2.5,5,3,9F,N,,
10/7/23,7,10,2023,4,-2.5,5,3,10F,N,,
10/15/23,15,10,2023,6,-2.5,5,4,1F,Y,,
10/15/23,15,10,2023,6,-2.5,5,4,2F,Y,,
10/15/23,15,10,2023,6,-2.5,5,4,3F,Y,,
10/15/23,15,10,2023,6,-2.5,5,4,4F,Y,,
10/15/23,15,10,2023,6,-2.5,5,4,5F,Y,,
10/15/23,15,10,2023,6,-2.5,5,4,6F,N,,
10/15/23,15,10,2023,6,-2.5,5,4,7F,N,,
10/15/23,15,10,2023,6,-2.5,5,4,8F,N,,
10/15/23,15,10,2023,6,-2.5,5,4,9F,N,,
10/15/23,15,10,2023,6,-2.5,5,4,10F,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,1M,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,2M,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,3M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,4M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,5M,N,,
10/10/23,10,10,2023,1,-2.5,5.5,1,1F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,2F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,3F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,4F,Y,,
10/10/23,10,10,2023,1,-2.5,5.5,1,5F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,1F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,2F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,3F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,4F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,5F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,6F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,7F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,2,8F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,9F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,2,10F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,1F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,2F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,3F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,4F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,5F,Y,,
10/11/23,11,10,2023,2,-2.5,5.5,3,6F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,7F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,8F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,9F,N,,
10/11/23,11,10,2023,2,-2.5,5.5,3,10F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,1F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,2F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,3F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,4F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,5F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,6F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,7F,Y,,
10/13/23,13,10,2023,4,-2.5,5.5,4,8F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,9F,N,,
10/13/23,13,10,2023,4,-2.5,5.5,4,10F,N,,